,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
418,2021-08-30T00:00:00.000Z,153.12,153.49,148.61,149.0,90956723,149.6298560905,149.9914224878,145.2226548694,145.6037653963,90956723,0.0,1.0
419,2021-08-31T00:00:00.000Z,151.83,152.8,151.29,152.66,86453117,148.3692597324,149.3171500172,147.8415682336,149.1803411101,86453117,0.0,1.0
420,2021-09-01T00:00:00.000Z,152.51,154.98,152.34,152.83,80313711,149.0337601382,151.4474601418,148.8676350367,149.3464662115,80313711,0.0,1.0
421,2021-09-02T00:00:00.000Z,153.65,154.72,152.4,153.87,71171317,150.1477755245,151.1933864572,148.9262674255,150.3627609499,71171317,0.0,1.0
422,2021-09-03T00:00:00.000Z,154.3,154.63,153.09,153.76,57866066,150.7829597359,151.105437874,149.6005398961,150.2552682372,57866066,0.0,1.0
423,2021-09-07T00:00:00.000Z,156.69,157.26,154.39,154.97,82278261,153.1184832211,153.6754909143,150.870908319,151.437688077,82278261,0.0,1.0
424,2021-09-08T00:00:00.000Z,155.11,157.04,153.975,156.98,74420207,151.574496984,153.4605054888,150.4653676302,153.4018731001,74420207,0.0,1.0
425,2021-09-09T00:00:00.000Z,154.07,156.11,153.95,155.49,57305730,150.5582022457,152.5517034632,150.4409374682,151.9458354461,57305730,0.0,1.0
426,2021-09-10T00:00:00.000Z,148.97,155.48,148.7,155.0,140893235,145.5744492019,151.9360633813,145.3106034526,151.4670042713,140893235,0.0,1.0
427,2021-09-13T00:00:00.000Z,149.55,151.42,148.75,150.63,102404329,146.1412289599,147.9686050759,145.3594637765,147.1966119574,102404329,0.0,1.0
428,2021-09-14T00:00:00.000Z,148.12,151.07,146.91,150.35,109296295,144.7438236946,147.6265828082,143.5614038549,146.9229941432,109296295,0.0,1.0
429,2021-09-15T00:00:00.000Z,149.03,149.44,146.37,148.56,83281315,145.6330815907,146.0337362472,143.0337123561,145.1737945455,83281315,0.0,1.0
430,2021-09-16T00:00:00.000Z,148.79,148.97,147.221,148.44,68034149,145.3985520357,145.5744492019,143.8653150699,145.056529768,68034149,0.0,1.0
431,2021-09-17T00:00:00.000Z,146.06,148.82,145.76,148.82,129868824,142.7307783476,145.4278682301,142.4376164038,145.4278682301,129868824,0.0,1.0
432,2021-09-20T00:00:00.000Z,142.94,144.84,141.27,143.8,123478863,139.6818941325,141.538586443,138.0499593123,140.5222917046,123478863,0.0,1.0
433,2021-09-21T00:00:00.000Z,143.43,144.6,142.78,143.93,75833962,140.1607253073,141.304056888,139.5255410959,140.6493285469,75833962,0.0,1.0
434,2021-09-22T00:00:00.000Z,145.85,146.43,143.7001,144.45,76404341,142.5255649869,143.0923447449,140.4246687774,141.1574759161,76404341,0.0,1.0
435,2021-09-23T00:00:00.000Z,146.83,147.08,145.64,146.65,64838170,143.4832273365,143.7275289563,142.3203516263,143.3073301703,64838170,0.0,1.0
436,2021-09-24T00:00:00.000Z,146.92,147.4701,145.56,145.66,53477869,143.5711759196,144.1087372038,142.242175108,142.3398957559,53477869,0.0,1.0
437,2021-09-27T00:00:00.000Z,145.37,145.96,143.82,145.47,74150729,142.0565058769,142.6330576996,140.5418358342,142.1542265248,74150729,0.0,1.0
438,2021-09-28T00:00:00.000Z,141.91,144.75,141.69,143.25,108972340,138.675371459,141.4506378598,138.4603860336,139.9848281411,108972340,0.0,1.0
439,2021-09-29T00:00:00.000Z,142.83,144.45,142.03,142.47,74602044,139.5744014198,141.1574759161,138.7926362365,139.2226070873,74602044,0.0,1.0
440,2021-09-30T00:00:00.000Z,141.5,144.378,141.28,143.66,89056664,138.2747168025,141.0871170496,138.0597313771,140.3854827975,89056664,0.0,1.0
441,2021-10-01T00:00:00.000Z,142.65,142.92,139.1101,141.9,94639581,139.3985042536,139.662350003,135.939291038,138.6655993942,94639581,0.0,1.0
442,2021-10-04T00:00:00.000Z,139.14,142.21,138.27,141.76,98322008,135.9685095117,138.9685334028,135.1183398748,138.5287904871,98322008,0.0,1.0
443,2021-10-05T00:00:00.000Z,141.11,142.24,139.36,139.49,80861062,137.8936062757,138.9978495971,136.1834949371,136.3105317794,80861062,0.0,1.0
444,2021-10-06T00:00:00.000Z,142.0,142.15,138.37,139.47,83221119,138.7633200421,138.909901014,135.2160605227,136.2909876498,83221119,0.0,1.0
445,2021-10-07T00:00:00.000Z,143.29,144.215,142.72,143.06,61732656,140.0239164003,140.9278323935,139.4669087071,139.79915891,61732656,0.0,1.0
446,2021-10-08T00:00:00.000Z,142.9,144.1781,142.56,144.03,58773155,139.6428058734,140.8917734744,139.3105556705,140.7470491948,58773155,0.0,1.0
447,2021-10-11T00:00:00.000Z,142.81,144.81,141.81,142.27,64452219,139.5548572903,141.5092702486,138.5776508111,139.0271657915,64452219,0.0,1.0
448,2021-10-12T00:00:00.000Z,141.51,143.25,141.0401,143.23,73035859,138.2844888673,139.9848281411,137.8252995428,139.9652840115,73035859,0.0,1.0
449,2021-10-13T00:00:00.000Z,140.91,141.4,139.2,141.235,78762721,137.6981649798,138.1769961546,136.0271419005,138.0157570856,78762721,0.0,1.0
450,2021-10-14T00:00:00.000Z,143.76,143.88,141.51,142.11,69907100,140.4832034455,140.600468223,138.2844888673,138.8708127548,69907100,0.0,1.0
451,2021-10-15T00:00:00.000Z,144.84,144.895,143.51,143.77,67940334,141.538586443,141.5923327993,140.2389018257,140.4929755103,67940334,0.0,1.0
452,2021-10-18T00:00:00.000Z,146.55,146.84,143.16,143.445,85589175,143.2096095224,143.4929994013,139.896879558,140.1753834045,85589175,0.0,1.0
453,2021-10-19T00:00:00.000Z,148.76,149.17,146.55,147.01,76378894,145.3692358413,145.7698904978,143.2096095224,143.6591245028,76378894,0.0,1.0
454,2021-10-20T00:00:00.000Z,149.26,149.7539,148.12,148.7,58418788,145.8578390809,146.340481361,144.7438236946,145.3106034526,58418788,0.0,1.0
455,2021-10-21T00:00:00.000Z,149.48,149.64,147.87,148.81,61420990,146.0728245063,146.229177543,144.4995220749,145.4180961653,61420990,0.0,1.0
456,2021-10-22T00:00:00.000Z,148.69,150.18,148.64,149.69,58883443,145.3008313878,146.7568690417,145.2519710638,146.2780378669,58883443,0.0,1.0
457,2021-10-25T00:00:00.000Z,148.64,149.37,147.6211,148.68,50720556,145.2519710638,145.9653317936,144.2562953822,145.291059323,50720556,0.0,1.0
458,2021-10-26T00:00:00.000Z,149.32,150.84,149.0101,149.33,60893395,145.9164714697,147.401825318,145.6136351818,145.9262435344,60893395,0.0,1.0
459,2021-10-27T00:00:00.000Z,148.85,149.73,148.49,149.36,56094929,145.4571844244,146.3171261261,145.1053900919,145.9555597288,56094929,0.0,1.0
